,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
141,EPIC 220674823 c,803.0,5.8 Earths,12.102,2016,Neptune-like,2016,5.8 Earths,0.244 x Jupiter,0.1091 AU,CFBDSIR J145829+101343,Imaging,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,
142,EPIC 246851721 b,1098.0,3 Jupiters,11.439,2018,Gas Giant,2018,3 Jupiters,1.051 x Jupiter,0.07229 AU,,,,,,,,,
143,EPIC 248847494 b,1827.0,13 Jupiters,12.416,2018,Gas Giant,2018,13 Jupiters,1.11 x Jupiter,4.5 AU,CHXR 73,Imaging,,,11h06m28.77s,-77d37m33.2s,,0.35,
144,EPIC 249893012 b,1058.0,8.75 Earths,11.428,2020,Super Earth,2020,8.75 Earths,1.95 x Earth,0.047 AU,,,,,,,,,
145,EPIC 249893012 c,1058.0,14.67 Earths,11.428,2020,Neptune-like,2020,14.67 Earths,0.327 x Jupiter,0.13 AU,CI Tau,Radial Velocity,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,
146,EPIC 249893012 d,1058.0,10.18 Earths,11.428,2020,Neptune-like,2020,10.18 Earths,0.352 x Jupiter,0.22 AU,,,,,,,,,
147,Epsilon Coronae Borealis b,228.0,6.7 Jupiters,4.15,2012,Gas Giant,2012,6.7 Jupiters,1.13 x Jupiter,1.3 AU,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950.0,0.95,1.11
148,Epsilon Eridani b,11.0,0.78 Jupiters,3.82,2000,Gas Giant,2000,0.78 Jupiters,1.24 x Jupiter,3.39 AU,,,,,,,,,
149,Epsilon Indi A b,12.0,3.25 Jupiters,4.69,2019,Gas Giant,2019,3.25 Jupiters,1.17 x Jupiter,11.55 AU,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075.0,0.89,0.79
150,Epsilon Tauri b,161.0,7.6 Jupiters,3.54,2006,Gas Giant,2006,7.6 Jupiters,1.13 x Jupiter,1.93 AU,,,,,,,,,
151,FU Tauri b,457.0,16 Jupiters,20.48,2008,Gas Giant,2008,16 Jupiters,1.09 x Jupiter,800.0 AU,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440.0,1.27,1.37
152,G 9-40 b,91.0,4.76 Earths,13.823,2019,Super Earth,2019,4.76 Earths,2.025 x Earth,0.0385 AU,,,,,,,,,
153,Gamma 1 Leonis b,126.0,8.78 Jupiters,1.98,2009,Gas Giant,2009,8.78 Jupiters,1.12 x Jupiter,1.19 AU,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675.0,1.08,1.12
154,Gamma Cephei b,44.0,1.85 Jupiters,3.21,2003,Gas Giant,2003,1.85 Jupiters,1.2 x Jupiter,2.05 AU,,,,,,,,,
155,Gamma Librae b,155.0,1.02 Jupiters,3.91,2018,Gas Giant,2018,1.02 Jupiters,1.23 x Jupiter,1.24 AU,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945.0,1.09,1.01
156,Gamma Librae c,155.0,4.58 Jupiters,3.91,2018,Gas Giant,2018,4.58 Jupiters,1.15 x Jupiter,2.17 AU,,,,,,,,,
157,GJ 1061 b,12.0,1.37 Earths,13.06,2020,Super Earth,2020,1.37 Earths,1.1 x Earth,0.021 AU,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035.0,1.13,1.21
158,GJ 1061 c,12.0,1.74 Earths,13.06,2020,Super Earth,2020,1.74 Earths,1.18 x Earth,0.035 AU,,,,,,,,,
159,GJ 1061 d,12.0,1.64 Earths,13.06,2020,Super Earth,2020,1.64 Earths,1.16 x Earth,0.054 AU,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650.0,1.1,1.19
160,GJ 1132 b,41.0,1.66 Earths,13.49,2015,Super Earth,2015,1.66 Earths,1.13 x Earth,0.0153 AU,,,,,,,,,
161,GJ 1132 c,41.0,2.64 Earths,13.49,2018,Super Earth,2018,2.64 Earths,1.43 x Earth,0.0476 AU,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740.0,1.04,1.59
162,GJ 1148 b,36.0,0.30425 Jupiters,11.92,2010,Gas Giant,2010,0.30425 Jupiters,1.07 x Jupiter,0.166 AU,,,,,,,,,
163,GJ 1148 c,36.0,0.21414 Jupiters,11.92,2017,Gas Giant,2017,0.21414 Jupiters,0.866 x Jupiter,0.912 AU,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440.0,0.95,1.0
164,GJ 1214 b,48.0,6.26125 Earths,15.1,2009,Neptune-like,2009,6.26125 Earths,0.254 x Jupiter,0.01411 AU,,,,,,,,,
165,GJ 1252 b,66.0,2.09 Earths,12.193,2020,Super Earth,2020,2.09 Earths,1.193 x Earth,0.00916 AU,CoRoT-19,Transit,88.0,0.71,06h28m08.06s,-00d10m14.5s,6090.0,1.21,1.65
166,GJ 1265 b,33.0,7.4 Earths,13.57,2018,Neptune-like,2018,7.4 Earths,0.234 x Jupiter,0.026 AU,,,,,,,,,
167,GJ 143 b,53.0,22.7 Earths,7.87,2019,Neptune-like,2019,22.7 Earths,0.233 x Jupiter,0.1915 AU,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625.0,0.96,0.91
168,GJ 15 A b,12.0,3.03 Earths,8.08,2014,Super Earth,2014,3.03 Earths,1.55 x Earth,0.072 AU,,,,,,,,,
169,GJ 15 A c,12.0,36 Earths,8.08,2018,Neptune-like,2018,36 Earths,0.595 x Jupiter,5.4 AU,CoRoT-20,Transit,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,
170,GJ 160.2 b,84.0,10.2 Earths,9.68,2014,Neptune-like,2014,10.2 Earths,0.283 x Jupiter,0.053 AU,,,,,,,,,
171,GJ 163 b,49.0,10.6 Earths,11.81,2013,Neptune-like,2013,10.6 Earths,0.29 x Jupiter,0.0607 AU,CoRoT-20,Radial Velocity,,,06h30m52.90s,+00d13m36.9s,,1.14,
172,GJ 163 c,49.0,6.8 Earths,11.81,2013,Neptune-like,2013,6.8 Earths,0.223 x Jupiter,0.1254 AU,,,,,,,,,
173,GJ 163 d,49.0,29.4 Earths,11.81,2013,Neptune-like,2013,29.4 Earths,0.528 x Jupiter,1.0304 AU,CoRoT-21,Transit,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200.0,1.29,1.95
174,GJ 179 b,40.0,0.82 Jupiters,12.0,2009,Gas Giant,2009,0.82 Jupiters,1.24 x Jupiter,2.41 AU,,,,,,,,,
175,GJ 180 b,39.0,6.49 Earths,10.91,2014,Neptune-like,2014,6.49 Earths,0.217 x Jupiter,0.092 AU,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939.0,1.1,1.14
176,GJ 180 c,39.0,6.4 Earths,10.91,2014,Neptune-like,2014,6.4 Earths,0.215 x Jupiter,0.129 AU,,,,,,,,,
177,GJ 180 d,39.0,7.56 Earths,10.91,2020,Neptune-like,2020,7.56 Earths,0.237 x Jupiter,0.309 AU,CoRoT-23,Transit,85.7,3.0,18h39m07.83s,+04d21m28.1s,5900.0,1.14,1.61
178,GJ 2056 b,93.0,16.2 Earths,10.37,2020,Neptune-like,2020,16.2 Earths,0.372 x Jupiter,0.283 AU,,,,,,,,,
179,GJ 229 A c,19.0,7.268 Earths,8.14,2020,Neptune-like,2020,7.268 Earths,0.232 x Jupiter,0.339 AU,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86
180,GJ 229 b,19.0,8.478 Earths,8.14,2014,Neptune-like,2014,8.478 Earths,0.254 x Jupiter,0.898 AU,,,,,,,,,
181,GJ 27.1 b,77.0,13 Earths,11.42,2014,Neptune-like,2014,13 Earths,0.327 x Jupiter,0.101 AU,CoRoT-24,Transit,89.0,1.3,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86
182,GJ 273 b,12.0,2.89 Earths,9.872,2017,Super Earth,2017,2.89 Earths,1.51 x Earth,0.091101 AU,,,,,,,,,
183,GJ 273 c,12.0,1.18 Earths,9.872,2017,Super Earth,2017,1.18 Earths,1.06 x Earth,0.036467 AU,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040.0,1.09,1.19
184,GJ 3021 b,57.0,3.37 Jupiters,6.59,2000,Gas Giant,2000,3.37 Jupiters,1.17 x Jupiter,0.49 AU,,,,,,,,,
185,GJ 3082 b,54.0,8.2 Earths,11.077,2020,Neptune-like,2020,8.2 Earths,0.249 x Jupiter,0.079 AU,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590.0,1.09,1.79
186,GJ 3138 b,93.0,1.78 Earths,10.98,2017,Super Earth,2017,1.78 Earths,1.18 x Earth,0.0197 AU,,,,,,,,,
187,GJ 3138 c,93.0,4.18 Earths,10.98,2017,Super Earth,2017,4.18 Earths,1.88 x Earth,0.057 AU,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900.0,1.05,1.08
188,GJ 3138 d,93.0,10.5 Earths,10.98,2017,Neptune-like,2017,10.5 Earths,0.288 x Jupiter,0.698 AU,,,,,,,,,
189,GJ 317 b,49.0,2.5 Jupiters,11.97,2007,Gas Giant,2007,2.5 Jupiters,1.18 x Jupiter,1.151 AU,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150.0,1.01,1.78
190,GJ 317 c,49.0,1.64396 Jupiters,11.97,2018,Gas Giant,2018,1.64396 Jupiters,1.2 x Jupiter,5.23 AU,,,,,,,,,
191,GJ 328 b,67.0,2.3 Jupiters,9.97,2013,Gas Giant,2013,2.3 Jupiters,1.19 x Jupiter,4.5 AU,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260.0,0.97,0.9
192,GJ 3293 b,66.0,23.54 Earths,11.962,2015,Neptune-like,2015,23.54 Earths,0.463 x Jupiter,0.14339 AU,,,,,,,,,
193,GJ 3293 c,66.0,21.09 Earths,11.962,2015,Neptune-like,2015,21.09 Earths,0.434 x Jupiter,0.36175 AU,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740.0,1.37,1.56
194,GJ 3293 d,66.0,7.6 Earths,11.962,2017,Neptune-like,2017,7.6 Earths,0.238 x Jupiter,0.19394 AU,,,,,,,,,
195,GJ 3293 e,66.0,3.28 Earths,11.962,2017,Super Earth,2017,3.28 Earths,1.63 x Earth,0.08208 AU,CoRoT-30,Transit,90.0,3.45,18h30m24.264s,+06d50m09.424s,5650.0,0.98,0.91
196,GJ 3323 b,17.0,2.02 Earths,12.22,2017,Super Earth,2017,2.02 Earths,1.23 x Earth,0.03282 AU,,,,,,,,,
197,GJ 3323 c,17.0,2.31 Earths,12.22,2017,Super Earth,2017,2.31 Earths,1.32 x Earth,0.1264 AU,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700.0,1.25,2.15
198,GJ 3341 b,76.0,6.6 Earths,12.08,2015,Neptune-like,2015,6.6 Earths,0.219 x Jupiter,0.089 AU,,,,,,,,,
199,GJ 338 B b,21.0,10.27 Earths,7.7,2020,Neptune-like,2020,10.27 Earths,0.284 x Jupiter,0.141 AU,CoRoT-4,Transit,90.0,0.525,06h48m46.72s,-00d40m22.0s,6190.0,1.16,1.17
200,GJ 3470 b,96.0,13.9 Earths,12.33,2012,Neptune-like,2012,13.9 Earths,0.408 x Jupiter,0.0355 AU,,,,,,,,,
201,GJ 3512 b,31.0,0.463 Jupiters,15.05,2019,Gas Giant,2019,0.463 Jupiters,1.27 x Jupiter,0.338 AU,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100.0,1.0,1.19
202,GJ 357 b,31.0,1.84 Earths,10.92,2019,Super Earth,2019,1.84 Earths,1.217 x Earth,0.035 AU,,,,,,,,,
203,GJ 357 c,31.0,3.4 Earths,10.92,2019,Super Earth,2019,3.4 Earths,1.66 x Earth,0.061 AU,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090.0,1.05,1.02
204,GJ 357 d,31.0,6.1 Earths,10.92,2019,Neptune-like,2019,6.1 Earths,0.209 x Jupiter,0.204 AU,,,,,,,,,
205,GJ 3634 b,65.0,8.4 Earths,11.93,2010,Neptune-like,2010,8.4 Earths,0.253 x Jupiter,0.0287 AU,CoRoT-7,Transit,80.1,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83
206,GJ 3779 b,45.0,8 Earths,12.96,2018,Neptune-like,2018,8 Earths,0.245 x Jupiter,0.026 AU,,,,,,,,,
207,GJ 3942 b,55.0,7.14 Earths,10.25,2017,Neptune-like,2017,7.14 Earths,0.229 x Jupiter,0.0608 AU,CoRoT-7,Radial Velocity,80.0,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83
208,GJ 3998 b,59.0,2.47 Earths,10.83,2016,Super Earth,2016,2.47 Earths,1.38 x Earth,0.029 AU,,,,,,,,,
209,GJ 3998 c,59.0,6.26 Earths,10.83,2016,Neptune-like,2016,6.26 Earths,0.212 x Jupiter,0.089 AU,CoRoT-8,Transit,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080.0,0.88,0.77
210,GJ 411 b,8.0,2.99 Earths,7.49,2019,Super Earth,2019,2.99 Earths,1.54 x Earth,0.0785 AU,,,,,,,,,
211,GJ 422 b,41.0,11.07 Earths,11.55,2014,Neptune-like,2014,11.07 Earths,0.297 x Jupiter,0.111 AU,CoRoT-9,Transit,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625.0,0.96,0.96
212,GJ 4276 b,70.0,16.57 Earths,11.66,2019,Neptune-like,2019,16.57 Earths,0.377 x Jupiter,0.082 AU,,,,,,,,,
213,GJ 433 b,30.0,6.043 Earths,9.806,2011,Neptune-like,2011,6.043 Earths,0.208 x Jupiter,0.062 AU,CoRoTID 223977153,Transit,89.0,1.1,06h40m46.84s,+09d15m26.8s,5970.0,1.08,0.79
214,GJ 433 c,30.0,32.422 Earths,9.806,2014,Neptune-like,2014,32.422 Earths,0.56 x Jupiter,4.819 AU,,,,,,,,,
215,GJ 433 d,30.0,5.223 Earths,9.806,2020,Neptune-like,2020,5.223 Earths,2.14 x Earth,0.178 AU,CT Cha,Imaging,,,11h04m09.09s,-76d27m19.4s,,,
216,GJ 436 b,32.0,22.1 Earths,10.67,2004,Neptune-like,2004,22.1 Earths,0.372 x Jupiter,0.0291 AU,,,,,,,,,
217,GJ 480 b,46.0,13.2 Earths,11.51,2020,Neptune-like,2020,13.2 Earths,0.33 x Jupiter,0.068 AU,DE CVn,Eclipse Timing Variations,86.0,,13h26m53.27s,+45d32m46.69s,,0.51,
218,GJ 504 b,57.0,4 Jupiters,5.22,2013,Gas Giant,2013,4 Jupiters,1.16 x Jupiter,43.5 AU,,,,,,,,,
219,GJ 536 b,34.0,5.36 Earths,9.72,2016,Neptune-like,2016,5.36 Earths,2.17 x Earth,0.06661 AU,DENIS-P J082303.1-491201,Astrometry,56.6,,08h23m03.13s,-49d12m01.3s,,0.07,
220,GJ 581 b,21.0,15.8 Earths,10.56,2005,Neptune-like,2005,15.8 Earths,0.366 x Jupiter,0.04061 AU,,,,,,,,,
221,GJ 581 c,21.0,5.5 Earths,10.56,2007,Neptune-like,2007,5.5 Earths,2.21 x Earth,0.0721 AU,DH Tau,Imaging,,,04h29m41.56s,+26d32m58.3s,,0.33,0.27
222,GJ 581 e,21.0,1.7 Earths,10.56,2009,Super Earth,2009,1.7 Earths,1.17 x Earth,0.02815 AU,,,,,,,,,
223,GJ 625 b,21.0,2.82 Earths,10.1,2017,Super Earth,2017,2.82 Earths,1.49 x Earth,0.078361 AU,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
224,GJ 649 b,34.0,0.328 Jupiters,9.69,2009,Gas Giant,2009,0.328 Jupiters,1.11 x Jupiter,1.135 AU,,,,,,,,,
225,GJ 667 C b,22.0,5.6 Earths,10.22,2011,Neptune-like,2011,5.6 Earths,2.23 x Earth,0.0505 AU,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
226,GJ 667 C c,22.0,3.8 Earths,10.22,2011,Super Earth,2011,3.8 Earths,1.77 x Earth,0.125 AU,,,,,,,,,
227,GJ 667 C e,22.0,2.7 Earths,10.22,2013,Super Earth,2013,2.7 Earths,1.45 x Earth,0.213 AU,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
228,GJ 667 C f,22.0,2.7 Earths,10.22,2013,Super Earth,2013,2.7 Earths,1.45 x Earth,0.156 AU,,,,,,,,,
229,GJ 667 C g,22.0,4.6 Earths,10.22,2013,Super Earth,2013,4.6 Earths,1.99 x Earth,0.549 AU,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
230,GJ 674 b,15.0,11.09 Earths,9.37,2007,Neptune-like,2007,11.09 Earths,0.297 x Jupiter,0.039 AU,,,,,,,,,
231,GJ 676 A b,52.0,6.7 Jupiters,9.58,2010,Gas Giant,2010,6.7 Jupiters,1.13 x Jupiter,1.82 AU,DMPP-2,Radial Velocity,,,01h49m37.89s,-34d27m32.9s,6500.0,1.44,1.78
232,GJ 676 A c,52.0,6.8 Jupiters,9.58,2016,Gas Giant,2016,6.8 Jupiters,1.13 x Jupiter,6.6 AU,,,,,,,,,
233,GJ 676 A d,52.0,4.4 Earths,9.58,2012,Super Earth,2012,4.4 Earths,1.93 x Earth,0.0413 AU,DMPP-3 A,Radial Velocity,,,06h06m29.85s,-72d30m45.6s,5138.0,0.87,0.91
234,GJ 676 A e,52.0,8.1 Earths,9.58,2012,Neptune-like,2012,8.1 Earths,0.247 x Jupiter,0.187 AU,,,,,,,,,
235,GJ 682 b,16.0,4.4 Earths,10.97,2014,Super Earth,2014,4.4 Earths,1.93 x Earth,0.08 AU,DP Leo,Eclipse Timing Variations,,,11h17m16.00s,+17d57m41.1s,13500.0,,0.01
236,GJ 682 c,16.0,8.7 Earths,10.97,2014,Neptune-like,2014,8.7 Earths,0.258 x Jupiter,0.176 AU,,,,,,,,,
237,GJ 685 b,47.0,9 Earths,9.97,2019,Neptune-like,2019,9 Earths,0.263 x Jupiter,0.1344 AU,DS Tuc A,Transit,89.5,,23h39m39.48s,-69d11m44.7s,5428.0,1.01,0.96
238,GJ 687 b,15.0,17.2 Earths,9.15,2014,Neptune-like,2014,17.2 Earths,0.385 x Jupiter,0.163 AU,,,,,,,,,
239,GJ 687 c,15.0,16 Earths,9.15,2020,Neptune-like,2020,16 Earths,0.369 x Jupiter,1.165 AU,EPIC 201238110,Transit,,,11h58m49.42s,-03d23m21.8s,,0.41,
240,GJ 832 b,16.0,0.68 Jupiters,8.66,2008,Gas Giant,2008,0.68 Jupiters,1.25 x Jupiter,3.56 AU,,,,,,,,,
241,GJ 832 c,16.0,5.4 Earths,8.66,2014,Neptune-like,2014,5.4 Earths,2.18 x Earth,0.163 AU,EPIC 201497682,Transit,,,11h15m44.79s,+00d29m17.2s,,0.78,
242,GJ 849 b,29.0,1 Jupiter,10.37,2006,Gas Giant,2006,1 Jupiter,1.23 x Jupiter,2.35 AU,,,,,,,,,
243,GJ 86 b,35.0,4.42 Jupiters,6.12,1999,Gas Giant,1999,4.42 Jupiters,1.15 x Jupiter,0.11 AU,K2-166,Transit,,,12h20m45.19s,+02d16m56.8s,,1.07,
244,GJ 876 b,15.0,2.2756 Jupiters,10.191,1998,Gas Giant,1998,2.2756 Jupiters,1.19 x Jupiter,0.208317 AU,,,,,,,,,
245,GJ 876 c,15.0,0.7142 Jupiters,10.191,2000,Gas Giant,2000,0.7142 Jupiters,1.25 x Jupiter,0.12959 AU,K2-16,Transit,,,11h40m23.34s,+04d33m26.4s,,0.67,
246,GJ 876 d,15.0,6.83 Earths,10.191,2005,Neptune-like,2005,6.83 Earths,0.224 x Jupiter,0.020807 AU,,,,,,,,,
247,GJ 876 e,15.0,14.6 Earths,10.191,2010,Neptune-like,2010,14.6 Earths,0.35 x Jupiter,0.3343 AU,K2-50,Transit,,,11h17m56.07s,+05d59m18.2s,,0.61,
248,GJ 887 b,11.0,4.2 Earths,7.335,2020,Super Earth,2020,4.2 Earths,1.88 x Earth,0.068 AU,,,,,,,,,
249,GJ 887 c,11.0,7.6 Earths,7.335,2020,Neptune-like,2020,7.6 Earths,0.238 x Jupiter,0.12 AU,EPIC 201841433,Transit,,,11h40m49.63s,+06d08m05.5s,,0.8,
250,GJ 9066 b,15.0,30.9 Earths,12.27,2020,Neptune-like,2020,30.9 Earths,0.544 x Jupiter,0.403 AU,,,,,,,,,
251,GJ 9066 c,15.0,0.22528 Jupiters,12.27,2020,Gas Giant,2020,0.22528 Jupiters,0.892 x Jupiter,0.87 AU,K2-168,Transit,89.81,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83
252,GJ 96 b,39.0,19.66 Earths,9.345,2018,Neptune-like,2018,19.66 Earths,0.417 x Jupiter,0.291 AU,,,,,,,,,
253,GJ 9827 b,97.0,4.91 Earths,10.25,2017,Super Earth,2017,4.91 Earths,1.577 x Earth,0.0188 AU,EPIC 206024342,Transit,,,22h05m06.53s,-14d07m18.0s,,0.93,
254,GJ 9827 c,97.0,0.84 Earths,10.25,2017,Super Earth,2017,0.84 Earths,1.241 x Earth,0.03925 AU,,,,,,,,,
255,GJ 9827 d,97.0,4.04 Earths,10.25,2017,Neptune-like,2017,4.04 Earths,2.022 x Earth,0.05591 AU,EPIC 206032309,Transit,,,22h44m57.77s,-13d54m03.3s,,0.22,
256,Gl 378 b,49.0,13.02 Earths,10.19,2019,Neptune-like,2019,13.02 Earths,0.327 x Jupiter,0.039435 AU,,,,,,,,,
257,Gl 49 b,32.0,5.63 Earths,9.56,2019,Neptune-like,2019,5.63 Earths,0.2 x Jupiter,0.0905 AU,EPIC 206042996,Transit,,,22h30m03.26s,-13d36m36.4s,,0.56,
258,Gl 686 b,27.0,6.64 Earths,9.577,2018,Neptune-like,2018,6.64 Earths,0.22 x Jupiter,0.0917 AU,,,,,,,,,
259,GQ Lupi b,495.0,20 Jupiters,12.43,2004,Gas Giant,2004,20 Jupiters,3.0 x Jupiter,100.0 AU,EPIC 206215704,Transit,,,22h20m22.76s,-09d30m34.3s,,0.41,
260,GSC 06214-00210 b,473.0,16 Jupiters,12.375,2010,Gas Giant,2010,16 Jupiters,1.8 x Jupiter,320.0 AU,,,,,,,,,
261,GU Piscium b,157.0,11.3 Jupiters,13.55,2014,Gas Giant,2014,11.3 Jupiters,1.265 x Jupiter,2000.0 AU,EPIC 206317286,Transit,,,22h30m28.22s,-07d58m20.7s,,0.71,
262,HAT-P-11 b,123.0,26.69772 Earths,9.151,2008,Neptune-like,2008,26.69772 Earths,0.389 x Jupiter,0.05254 AU,,,,,,,,,
263,HAT-P-11 c,123.0,2.3 Jupiters,9.151,2018,Gas Giant,2018,2.3 Jupiters,1.19 x Jupiter,4.13 AU,EPIC 211822797,Transit,89.73,,08h41m38.49s,+17d38m24.0s,4148.21,0.66,0.57
264,HAT-P-12 b,465.0,0.211 Jupiters,12.84,2009,Gas Giant,2009,0.211 Jupiters,0.959 x Jupiter,0.0384 AU,,,,,,,,,
265,HAT-P-13 b,698.0,0.851 Jupiters,10.622,2009,Gas Giant,2009,0.851 Jupiters,1.272 x Jupiter,0.04383 AU,EPIC 211945201,Transit,,,09h06m17.75s,+19d24m08.1s,6069.0,1.17,1.39
266,HAT-P-13 c,698.0,14.28 Jupiters,10.622,2009,Gas Giant,2009,14.28 Jupiters,1.1 x Jupiter,1.258 AU,,,,,,,,,
267,HAT-P-14 b,731.0,3.44 Jupiters,9.98,2010,Gas Giant,2010,3.44 Jupiters,1.42 x Jupiter,0.0596 AU,EPIC 212297394,Transit,,,13h48m49.49s,-17d36m35.7s,,0.83,
268,HAT-P-15 b,631.0,1.94 Jupiters,12.16,2010,Gas Giant,2010,1.94 Jupiters,1.06 x Jupiter,0.0965 AU,,,,,,,,,
269,HAT-P-16 b,767.0,4.193 Jupiters,10.812,2010,Gas Giant,2010,4.193 Jupiters,1.289 x Jupiter,0.0413 AU,EPIC 212424622,Transit,,,13h29m19.54s,-14d21m34.1s,,1.11,
270,HAT-P-17 b,302.0,0.58 Jupiters,10.54,2010,Gas Giant,2010,0.58 Jupiters,1.05 x Jupiter,0.0882 AU,,,,,,,,,
271,HAT-P-17 c,302.0,3.4 Jupiters,10.54,2010,Gas Giant,2010,3.4 Jupiters,1.17 x Jupiter,5.6 AU,EPIC 212499991,Transit,,,13h29m57.30s,-12d44m05.0s,,0.91,
272,HAT-P-18 b,541.0,0.197 Jupiters,12.759,2010,Gas Giant,2010,0.197 Jupiters,0.995 x Jupiter,0.0559 AU,,,,,,,,,
273,HAT-P-19 b,701.0,0.292 Jupiters,12.901,2010,Gas Giant,2010,0.292 Jupiters,1.132 x Jupiter,0.0466 AU,EPIC 212587672,Transit,,,13h41m46.73s,-10d51m44.8s,,0.95,
274,HAT-P-1 b,521.0,0.525 Jupiters,10.34,2006,Gas Giant,2006,0.525 Jupiters,1.319 x Jupiter,0.05561 AU,,,,,,,,,
275,HAT-P-20 b,228.0,7.246 Jupiters,11.339,2010,Gas Giant,2010,7.246 Jupiters,0.867 x Jupiter,0.0361 AU,EPIC 212737443,Transit,89.071,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67
276,HAT-P-21 b,912.0,4.87 Jupiters,11.685,2010,Gas Giant,2010,4.87 Jupiters,1.11 x Jupiter,0.0494 AU,,,,,,,,,
277,HAT-P-22 b,267.0,2.47 Jupiters,9.732,2010,Gas Giant,2010,2.47 Jupiters,1.15 x Jupiter,0.0414 AU,EPIC 212737443,Transit,89.63,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67
278,HAT-P-23 b,1202.0,1.34 Jupiters,12.432,2010,Gas Giant,2010,1.34 Jupiters,1.09 x Jupiter,0.0232 AU,,,,,,,,,
279,HAT-P-24 b,1371.0,0.75 Jupiters,11.818,2010,Gas Giant,2010,0.75 Jupiters,1.3 x Jupiter,0.04651 AU,K2-282,Transit,,,00h53m43.68s,+07d59m43.1s,,0.94,
280,HAT-P-25 b,988.0,0.569 Jupiters,13.19,2010,Gas Giant,2010,0.569 Jupiters,1.135 x Jupiter,0.0466 AU,,,,,,,,,
281,HAT-P-26 b,465.0,22.2481 Earths,11.744,2010,Neptune-like,2010,22.2481 Earths,0.63 x Jupiter,0.0479 AU,EPIC 220674823,Transit,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98
282,HAT-P-27 b,665.0,0.62 Jupiters,11.956,2011,Gas Giant,2011,0.62 Jupiters,1.02 x Jupiter,0.04 AU,,,,,,,,,
283,HAT-P-28 b,1288.0,0.626 Jupiters,13.03,2011,Gas Giant,2011,0.626 Jupiters,1.212 x Jupiter,0.0434 AU,EPIC 220674823,Transit,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98
284,HAT-P-29 b,1032.0,0.88 Jupiters,11.9,2011,Gas Giant,2011,0.88 Jupiters,1.17 x Jupiter,0.0667 AU,,,,,,,,,
285,HAT-P-2 b,418.0,8.7 Jupiters,8.72,2007,Gas Giant,2007,8.7 Jupiters,0.951 x Jupiter,0.06814 AU,EPIC 246851721,Transit,86.21,3.1,05h15m40.74s,+16d16m43.5s,6202.0,1.32,1.59
