,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2329,Kepler-1694 b,1700.0,1.76 Earths,14.752,2020,Super Earth,2020,1.76 Earths,1.18 x Earth,Unknown,K2-201,Transit,89.272,,19h34m14.58s,-23d07m51.7s,5507.0,0.96,0.88
2330,Kepler-1695 b,2641.0,1.46 Earths,14.623,2020,Super Earth,2020,1.46 Earths,1.119 x Earth,Unknown,,,,,,,,,
2331,Kepler-1696 b,5126.0,8.29 Earths,15.488,2020,Neptune-like,2020,8.29 Earths,0.251 x Jupiter,Unknown,K2-202,Transit,87.672,,18h53m03.43s,-22d24m25.3s,5491.0,0.97,0.91
2332,Kepler-1697 b,814.0,2.12 Earths,13.362,2020,Super Earth,2020,2.12 Earths,1.26 x Earth,Unknown,,,,,,,,,
2333,Kepler-1698 b,730.0,1.25 Earths,12.876,2020,Super Earth,2020,1.25 Earths,1.073 x Earth,Unknown,K2-203,Transit,88.43,,00h51m05.70s,-01d11m45.2s,5000.0,0.79,0.76
2334,Kepler-1699 b,,3.08 Earths,14.661,2020,Super Earth,2020,3.08 Earths,1.567 x Earth,Unknown,,,,,,,,,
2335,Kepler-169 b,1342.0,1.51 Earths,14.162,2014,Super Earth,2014,1.51 Earths,1.13 x Earth,0.04 AU,K2-204,Transit,87.649,,01h09m31.81s,-00d31m03.4s,5755.0,1.01,1.18
2336,Kepler-169 c,1342.0,1.92 Earths,14.162,2014,Super Earth,2014,1.92 Earths,1.21 x Earth,0.062 AU,,,,,,,,,
2337,Kepler-169 d,1342.0,2.1 Earths,14.162,2014,Super Earth,2014,2.1 Earths,1.25 x Earth,0.075 AU,K2-205,Transit,89.097,,01h00m52.20s,+00d25m33.6s,5890.0,0.95,1.08
2338,Kepler-169 e,1342.0,5.48 Earths,14.162,2014,Neptune-like,2014,5.48 Earths,2.2 x Earth,0.105 AU,,,,,,,,,
2339,Kepler-169 f,1342.0,7.18 Earths,14.162,2014,Neptune-like,2014,7.18 Earths,0.23 x Jupiter,0.359 AU,K2-206,Transit,89.112,,00h45m01.52s,+00d35m35.7s,5043.0,0.79,0.76
2340,Kepler-16 b,245.0,0.333 Jupiters,11.747,2011,Gas Giant,2011,0.333 Jupiters,0.754 x Jupiter,0.7048 AU,,,,,,,,,
2341,Kepler-1700 b,2390.0,8.76 Earths,13.629,2020,Neptune-like,2020,8.76 Earths,0.259 x Jupiter,Unknown,K2-207,Transit,88.62,,00h46m47.93s,+00d38m26.9s,5522.0,0.94,0.93
2342,Kepler-1701 b,1938.0,5.57 Earths,14.55,2020,Neptune-like,2020,5.57 Earths,2.222 x Earth,Unknown,,,,,,,,,
2343,Kepler-1702 b,2865.0,3.2 Earths,15.774,2020,Super Earth,2020,3.2 Earths,1.602 x Earth,Unknown,K2-208,Transit,88.043,,01h23m06.98s,+00d53m21.0s,5582.0,0.93,0.86
